[2024-08-25 20:38:54] [WARNING ] discord.client: PyNaCl is not installed, voice will NOT be supported
[2024-08-25 20:38:54] [INFO    ] discord.client: logging in using static token
[2024-08-25 20:38:57] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2024-08-25 20:38:57] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-us-east1-c-8j2s",{"micros":0.0}]']}}
[2024-08-25 20:38:57] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2024-08-25 20:38:57] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2024-08-25 20:38:57] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'Meowy', 'mfa_enabled': True, 'id': '889068374750011403', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '4882', 'clan': None, 'bot': True, 'avatar': 'f51852f3976b5f746ed54ebf2fa91794'}, 'session_type': 'normal', 'session_id': '2c2640b099cc12b18c1a3d1d85ddb34b', 'resume_gateway_url': 'wss://gateway-us-east1-c.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '689898353755947010'}, {'unavailable': True, 'id': '820326376673771540'}, {'unavailable': True, 'id': '1086623668936917052'}, {'unavailable': True, 'id': '1246531747106132060'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['india', 'dubai', 'tel-aviv', 'singapore', 'hongkong'], 'auth': {}, 'application': {'id': '889068374750011403', 'flags': 565248}, '_trace': ['["gateway-prd-us-east1-c-8j2s",{"micros":88675,"calls":["id_created",{"micros":1433,"calls":[]},"session_lookup_time",{"micros":249,"calls":[]},"session_lookup_finished",{"micros":36,"calls":[]},"discord-sessions-prd-1-200",{"micros":86280,"calls":["start_session",{"micros":63772,"calls":["discord-api-rpc-57497c5869-slxjm",{"micros":58862,"calls":["get_user",{"micros":6341},"get_guilds",{"micros":3966},"send_scheduled_deletion_message",{"micros":14},"guild_join_requests",{"micros":2},"authorized_ip_coro",{"micros":11}]}]},"starting_guild_connect",{"micros":58,"calls":[]},"presence_started",{"micros":338,"calls":[]},"guilds_started",{"micros":138,"calls":[]},"guilds_connect",{"micros":2,"calls":[]},"presence_connect",{"micros":21940,"calls":[]},"connect_finished",{"micros":21947,"calls":[]},"build_ready",{"micros":20,"calls":[]},"clean_ready",{"micros":1,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":1,"calls":[]}]}]}]']}}
[2024-08-25 20:38:57] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2024-08-25 20:38:57] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 2c2640b099cc12b18c1a3d1d85ddb34b).
[2024-08-25 20:38:57] [DEBUG   ] discord.client: Dispatching event connect
[2024-08-25 20:38:57] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'large': False, 'lazy': True, 'rules_channel_id': None, 'public_updates_channel_id': None, 'unavailable': False, 'stage_instances': [], 'afk_timeout': 300, 'splash': None, 'nsfw': False, 'max_stage_video_channel_users': 50, 'nsfw_level': 0, 'inventory_settings': None, 'id': '1086623668936917052', 'afk_channel_id': None, 'name': 'Test Server', 'verification_level': 0, 'region': 'deprecated', 'vanity_url_code': None, 'owner_id': '708231383688019999', 'emojis': [], 'application_command_counts': {}, 'banner': None, 'member_count': 5, 'icon': None, 'max_video_channel_users': 25, 'default_message_notifications': 0, 'threads': [], 'latest_onboarding_question_id': None, 'stickers': [], 'max_members': 500000, 'description': None, 'joined_at': '2023-03-18T15:14:13.316000+00:00', 'system_channel_flags': 0, 'activity_instances': [], 'embedded_activities': [], 'system_channel_id': '1086623669876437137', 'hub_type': None, 'safety_alerts_channel_id': None, 'incidents_data': None, 'premium_subscription_count': 0, 'members': [{'user': {'username': 'Meowy', 'public_flags': 0, 'id': '889068374750011403', 'global_name': None, 'display_name': None, 'discriminator': '4882', 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'f51852f3976b5f746ed54ebf2fa91794'}, 'roles': ['1086668892316913715'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2023-03-18T15:14:13.316000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'explicit_content_filter': 0, 'premium_tier': 0, 'presences': [], 'application_id': None, 'clan': None, 'guild_scheduled_events': [], 'voice_states': [], 'discovery_splash': None, 'features': ['SOUNDBOARD'], 'version': 1682427683224, 'roles': [{'version': 1679141671381, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1086623668936917052', 'icon': None, 'hoist': False, 'flags': 0, 'color': 0}, {'version': 1679142782017, 'unicode_emoji': None, 'tags': {'bot_id': '1086623938974601226'}, 'position': 1, 'permissions': '8', 'name': 'TheCreator', 'mentionable': False, 'managed': True, 'id': '1086628327953023019', 'icon': None, 'hoist': False, 'flags': 0, 'color': 0}, {'version': 1679152453268, 'unicode_emoji': None, 'tags': {'bot_id': '889068374750011403'}, 'position': 1, 'permissions': '8', 'name': 'Meowy', 'mentionable': False, 'managed': True, 'id': '1086668892316913715', 'icon': None, 'hoist': False, 'flags': 0, 'color': 0}, {'version': 1694877049505, 'unicode_emoji': None, 'tags': {'bot_id': '356268235697553409'}, 'position': 1, 'permissions': '275415092288', 'name': '.fmbot', 'mentionable': False, 'managed': True, 'id': '1152622628897558531', 'icon': None, 'hoist': False, 'flags': 0, 'color': 0}, {'version': 1712402716260, 'unicode_emoji': None, 'tags': {'bot_id': '439205512425504771'}, 'position': 1, 'permissions': '1513941757175', 'name': 'NotSoBot', 'mentionable': False, 'managed': True, 'id': '1221854902242902058', 'icon': None, 'hoist': False, 'flags': 0, 'color': 0}], 'premium_progress_bar_enabled': False, 'soundboard_sounds': [], 'channels': [{'version': 1679141671393, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Text Channels', 'id': '1086623669876437135', 'flags': 0}, {'version': 1679141671401, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Voice Channels', 'id': '1086623669876437136', 'flags': 0}, {'version': 1679141671405, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1086623669876437135', 'name': 'general', 'last_message_id': '1274776369238114356', 'id': '1086623669876437137', 'flags': 0}, {'version': 1679141671418, 'user_limit': 0, 'type': 2, 'status': None, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1086623669876437136', 'name': 'General', 'last_message_id': None, 'id': '1086623669876437138', 'flags': 0, 'bitrate': 64000}, {'version': 1682176585319, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 1, 'permission_overwrites': [], 'parent_id': '1086623669876437135', 'name': 'bot-and-ball-torture', 'last_message_id': '1217049660234006548', 'id': '1099353021462347806', 'flags': 0}], 'preferred_locale': 'en-US', 'mfa_level': 0, 'home_header': None}}
[2024-08-25 20:38:57] [DEBUG   ] discord.client: Dispatching event socket_event_type
